EXOAURORA PROXIMA CENTAURI B 5577A OI LINE SEARCH
=================================================

ORIGIN:            http://archive.eso.org/cms.html
NUMBER OF SPECTRA: 319
TOTAL EXP TIME:    69.58 hours

DIRECT LINK 1:     http://archive.eso.org/wdb/wdb/adp/phase3_main/query?wdbo=html%2fdisplay&max_rows_returned=200&cltarget=gl551&resolver=none&wdb_input_file=&coord_sys=eq&coord1=&coord2=&box=02%2009%2000&tab_ra=on&tab_dec=on&tab_filter=on&filter=Any&tab_wavelength=on&wavelength=Any&tab_dataproduct_type=on&dataproduct_type=Any&tel_id=Any&tab_ins_id=on&ins_id=HARPS&obstech=Any&tab_date_obs=on&date_obs=&mjd_obs=&tab_exptime=on&exptime=&multi_ob=%25&tab_collection_name=on&tab_prog_id=on&prog_id=&username=&p3orig=%25&tab_origfile=on&origfile=&tab_dp_id=on&dp_id=&rel_date=&tab_referenc=on&referenc=&batch_id=&publication_date=&wdb_input_file_raw=&order_main=dummy&
DIRECT LINK 2:     http://archive.eso.org/wdb/wdb/adp/phase3_main/query?wdbo=html%2fdisplay&max_rows_returned=800&target=proxima&resolver=none&wdb_input_file=&coord_sys=eq&coord1=&coord2=&box=02%2009%2000&tab_ra=on&tab_dec=on&tab_filter=on&filter=Any&tab_wavelength=on&wavelength=Any&tab_dataproduct_type=on&dataproduct_type=Any&tel_id=Any&tab_ins_id=on&ins_id=HARPS&obstech=Any&tab_date_obs=on&date_obs=&mjd_obs=&tab_exptime=on&exptime=&multi_ob=%25&tab_collection_name=on&tab_prog_id=on&prog_id=&username=&p3orig=%25&tab_origfile=on&origfile=&tab_dp_id=on&dp_id=&rel_date=&tab_referenc=on&referenc=&batch_id=&publication_date=&wdb_input_file_raw=&order_main=dummy&

OBJECT             PROG_ID            PI-COI             DATE-OBS                  EXPTIME           ORIGFILE
Gl551              183.C-0437(A)      Bonfils            2011-03-25T06:02:42.090   900.007700         HARPS.2011-03-25T06:02:42.090_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              072.C-0488(E)      Mayor              2004-07-19T00:34:36.949   900.000000         HARPS.2004-07-19T00:34:36.950_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              072.C-0488(E)      Mayor              2004-07-21T00:00:43.396   450.000500         HARPS.2004-07-21T00:00:43.396_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              072.C-0488(E)      Mayor              2004-07-17T00:42:25.133   899.982300         HARPS.2004-07-17T00:42:25.134_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              072.C-0488(E)      Mayor              2004-07-16T01:52:40.700   899.996300         HARPS.2004-07-16T01:52:40.701_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              072.C-0488(E)      Mayor              2004-07-21T00:08:44.041   450.001000         HARPS.2004-07-21T00:08:44.041_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              072.C-0488(E)      Mayor              2004-05-27T02:10:14.820   900.001400         HARPS.2004-05-27T02:10:14.820_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              072.C-0488(E)      Mayor              2005-07-25T23:43:51.813   899.999000         HARPS.2005-07-25T23:43:51.813_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-06T09:14:46.499   499.993500         HARPS.2013-05-06T09:14:46.499_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-08T23:52:37.965   500.000200         HARPS.2013-05-08T23:52:37.966_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-06T00:25:23.938   499.999600         HARPS.2013-05-06T00:25:23.938_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-13T23:46:01.711   600.000300         HARPS.2013-05-13T23:46:01.712_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-06T05:47:44.513   500.000500         HARPS.2013-05-06T05:47:44.513_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2013-03-20T07:09:26.490   900.000900         HARPS.2013-03-20T07:09:26.491_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-06T02:30:23.521   499.993400         HARPS.2013-05-06T02:30:23.522_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-06T03:06:40.865   499.999800         HARPS.2013-05-06T03:06:40.866_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-06T05:30:00.907   500.000500         HARPS.2013-05-06T05:30:00.907_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-06T04:17:37.988   500.000500         HARPS.2013-05-06T04:17:37.988_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-06T06:59:44.940   500.000300         HARPS.2013-05-06T06:59:44.940_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-06T03:42:08.936   500.001000         HARPS.2013-05-06T03:42:08.937_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-06T01:00:51.960   500.000900         HARPS.2013-05-06T01:00:51.960_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
